n,r2,variable,coef_ols,pval_ols,coef_nw,pval_nw
517,0.0019,(Intercept),-0.004898,0.2419,-0.004898,0.4684
517,0.0019,pos_z,0.004232,0.3186,0.004232,0.5232
517,0.0058,(Intercept),-0.004905,0.2408,-0.004905,0.4659
517,0.0058,pos_z,0.004857,0.2545,0.004857,0.4681
517,0.0058,mm_chg_z,-0.006036,0.1572,-0.006036,0.1776
107,0.1989,(Intercept),0.029818,0.417,0.029818,0.4569
107,0.1989,pos_z,0.04824,0.0466,0.04824,0.0567
107,0.1989,dxy_z,-0.031903,5e-04,-0.031903,0.0311
107,0.1989,sofr_z,0.045959,0.2954,0.045959,0.4138
107,0.1989,td3c_z,-0.007179,0.1495,-0.007179,0.2383
107,0.1989,sin_ann,-0.029079,0.0222,-0.029079,0.0603
107,0.1989,cos_ann,-0.002244,0.8532,-0.002244,0.8959
107,0.1664,(Intercept),-0.02144,0.4235,-0.02144,0.5684
107,0.1664,dxy_z,-0.027746,0.0021,-0.027746,0.068
107,0.1664,sofr_z,0.047006,0.2917,0.047006,0.4365
107,0.1664,td3c_z,-0.004591,0.3456,-0.004591,0.5031
107,0.1664,sin_ann,-0.021878,0.0754,-0.021878,0.1918
107,0.1664,cos_ann,-0.00223,0.8563,-0.00223,0.9016
