product,tier,n_oos,hit_rate,rmse,r2_cv,estimator,variant
CL,tier1_baseline,10,0.4,2.2364,-0.0046,OLS,v3_ols_sig
CL,tier1_baseline,10,0.4,2.2177,-0.0021,OLS,v4_ols_sig_trim
CL,tier2_freight,12,0.6667,2.0656,-0.0135,Lasso,v1_ridge_all
CL,tier2_freight,10,0.7,1.973,-0.0093,Lasso,v2_ridge_sig
CL,tier2_freight,10,0.7,2.4774,,OLS,v3_ols_sig
CL,tier2_freight,10,0.7,2.4983,,OLS,v4_ols_sig_trim
CL,tier2_physical,12,0.6667,2.0656,-0.0065,Lasso,v1_ridge_all
CL,tier2_physical,10,0.8,2.2082,-0.0162,Lasso,v2_ridge_sig
CL,tier2_physical,10,0.4,2.238,,OLS,v3_ols_sig
CL,tier2_physical,10,0.8,2.2082,,OLS,v4_ols_sig_trim
CL,tier3_full,12,0.6667,2.0656,-0.0064,Lasso,v1_ridge_all
CL,tier3_full,10,0.7,2.2313,0.009,Lasso,v2_ridge_sig
CL,tier3_full,10,0.7,2.1289,-0.0104,Lasso,v3_ols_sig
CL,tier3_full,10,0.7,2.2405,-0.0044,Lasso,v4_ols_sig_trim
HO,tier1_baseline,9,0.3333,4.816,0.0062,OLS,v3_ols_sig
HO,tier1_baseline,9,0.3333,4.7561,0.0238,OLS,v4_ols_sig_trim
HO,tier2_freight,11,0.6364,3.9887,0.0045,Lasso,v1_ridge_all
HO,tier2_freight,9,0.5556,4.3062,-0.003,Lasso,v2_ridge_sig
HO,tier2_freight,9,0.5556,4.3158,,OLS,v3_ols_sig
HO,tier2_freight,9,0.6667,4.3042,,OLS,v4_ols_sig_trim
HO,tier2_physical,11,0.6364,3.9833,-0.0087,Lasso,v1_ridge_all
HO,tier2_physical,9,0.6667,4.3002,-6e-04,Lasso,v2_ridge_sig
HO,tier2_physical,9,0.6667,4.3002,,OLS,v3_ols_sig
HO,tier2_physical,9,0.6667,4.3002,,OLS,v4_ols_sig_trim
HO,tier3_full,11,0.6364,3.9413,0.004,Lasso,v1_ridge_all
HO,tier3_full,9,0.5556,4.2951,-0.025,Lasso,v2_ridge_sig
HO,tier3_full,9,0.5556,4.8214,-0.0026,Lasso,v3_ols_sig
HO,tier3_full,9,0.5556,4.2976,-0.0102,Lasso,v4_ols_sig_trim
LCO,tier1_baseline,10,0.6,1.5376,0.0405,OLS,v3_ols_sig
LCO,tier1_baseline,10,0.7,1.5411,0.004,OLS,v4_ols_sig_trim
LCO,tier2_freight,12,0.75,1.5844,0.0178,Lasso,v1_ridge_all
LCO,tier2_freight,10,0.9,1.4832,-0.0048,Lasso,v2_ridge_sig
LCO,tier2_freight,10,0.9,1.4737,,OLS,v3_ols_sig
LCO,tier2_freight,10,1,1.5224,,OLS,v4_ols_sig_trim
LCO,tier2_physical,12,0.75,1.5838,0.0076,Lasso,v1_ridge_all
LCO,tier2_physical,10,0.9,1.4749,-0.0064,Lasso,v2_ridge_sig
LCO,tier2_physical,10,0.9,1.4949,,OLS,v3_ols_sig
LCO,tier2_physical,10,0.9,1.5077,,OLS,v4_ols_sig_trim
LCO,tier3_full,12,0.75,1.5824,-0.0026,Lasso,v1_ridge_all
LCO,tier3_full,10,0.9,1.4748,0.0257,Lasso,v2_ridge_sig
LCO,tier3_full,10,0.9,1.4744,-0.0115,Lasso,v3_ols_sig
LCO,tier3_full,10,0.9,1.5386,0.0196,Lasso,v4_ols_sig_trim
LGO,tier1_baseline,9,0.3333,4.7173,0.0196,OLS,v3_ols_sig
LGO,tier1_baseline,9,0.6667,4.6684,0.0103,OLS,v4_ols_sig_trim
LGO,tier2_freight,11,0.7273,4.2207,-0.0017,Lasso,v1_ridge_all
LGO,tier2_freight,9,0.7778,4.4093,-0.0019,Lasso,v2_ridge_sig
LGO,tier2_freight,9,0.7778,4.4093,,OLS,v3_ols_sig
LGO,tier2_freight,9,0.7778,4.4093,,OLS,v4_ols_sig_trim
LGO,tier2_physical,11,0.2727,4.3313,5e-04,Lasso,v1_ridge_all
LGO,tier2_physical,9,0.6667,4.3894,-0.0015,Lasso,v2_ridge_sig
LGO,tier2_physical,9,0.7778,4.3893,,OLS,v3_ols_sig
LGO,tier2_physical,9,0.7778,4.3893,,OLS,v4_ols_sig_trim
LGO,tier3_full,11,0.6364,4.2587,-0.0088,Lasso,v1_ridge_all
LGO,tier3_full,9,0.7778,4.4025,-0.0195,Lasso,v2_ridge_sig
LGO,tier3_full,9,0.7778,4.4032,-0.0356,Lasso,v3_ols_sig
LGO,tier3_full,9,0.7778,4.4025,-0.0165,Lasso,v4_ols_sig_trim
